position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
attacking midfielder,73.0,7.33,0.33,0.0,1.67,3.0,3.0,1.67,2.0,4.33,0.67,1.33,1.0,0.0,0.33,1.67,2.33,0.0,0.0,Netherlands
central midfielder,79.5,7.5,0.5,0.5,1.5,2.5,3.0,2.0,2.0,5.0,0.5,1.5,1.0,0.5,0.0,1.5,2.0,0.5,0.0,Netherlands
defensive midfielder,61.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Netherlands
attacking midfielder,90.0,7.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,5.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Netherlands
central midfielder,78.0,8.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,Netherlands
right wing,84.5,7.5,0.5,0.0,1.0,3.0,1.5,1.0,2.5,3.0,0.5,1.0,0.5,0.5,0.0,1.5,3.0,0.0,0.0,Netherlands
defensive midfielder,90.0,7.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,Netherlands
goal keeper,90.0,6.83,0.0,0.0,0.0,0.0,5.33,2.67,0.0,0.17,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,Netherlands
centre forward,67.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
central midfielder,45.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Netherlands
central midfielder,76.5,8.5,0.0,0.5,0.5,0.5,3.0,2.5,2.0,6.0,0.0,2.5,1.5,0.5,0.0,1.5,2.0,0.0,0.0,Netherlands
defensive midfielder,84.0,7.8,0.0,0.4,0.0,0.6,5.0,3.6,2.0,5.8,0.6,2.6,1.6,0.8,0.0,1.8,2.2,0.0,0.0,Netherlands
centre back,90.0,8.0,0.0,0.0,0.0,2.0,8.0,5.0,0.0,9.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,Netherlands
centre back,75.0,7.0,0.0,0.0,0.0,1.0,3.0,2.33,0.0,4.0,0.0,1.0,0.33,1.67,0.33,0.33,0.33,0.0,0.0,Netherlands
centre back,89.25,7.38,0.25,0.0,0.38,1.5,6.75,4.62,0.25,5.5,0.0,1.38,1.62,3.62,1.12,0.0,0.0,0.12,0.0,Netherlands
centre back,66.0,6.0,0.0,0.0,0.0,0.0,2.5,1.5,0.0,4.0,0.0,1.5,0.5,2.0,0.5,0.0,0.0,0.5,0.0,Netherlands
left back,85.0,7.4,0.2,0.2,0.2,0.8,2.4,1.8,0.4,4.8,0.0,1.4,1.4,2.2,0.8,1.2,1.2,0.0,0.0,Netherlands
