position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
central midfielder,81.0,7.57,0.29,0.0,0.71,2.57,6.14,3.71,1.0,4.0,0.86,1.57,1.29,1.0,0.14,0.71,1.57,0.14,0.0,Uruguay
defensive midfielder,90.0,7.38,0.0,0.0,0.38,2.0,7.12,3.88,0.88,5.0,0.88,2.5,1.0,1.0,0.38,1.0,1.25,0.12,0.0,Uruguay
centre back,90.0,7.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Uruguay
right back,78.6,6.8,0.0,0.2,0.0,0.0,5.0,1.8,0.4,4.4,1.2,2.6,1.4,3.0,0.6,0.4,1.0,0.2,0.0,Uruguay
centre back,90.0,7.0,0.0,0.0,0.0,0.5,3.5,1.0,0.0,5.0,0.0,2.5,1.5,2.0,0.5,0.0,0.0,0.5,0.0,Uruguay
left back,75.0,7.0,0.0,0.33,0.0,0.33,3.67,1.0,0.67,4.33,0.0,2.0,1.0,1.67,0.33,0.67,1.0,0.0,0.0,Uruguay
centre forward,33.0,6.5,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,Uruguay
attacking midfielder,66.0,7.5,0.5,0.0,0.5,1.5,2.5,1.0,1.5,3.0,0.5,0.5,0.5,0.0,0.0,1.0,1.5,0.0,0.0,Uruguay
central midfielder,72.0,7.0,0.33,0.0,1.0,1.67,3.0,2.0,1.33,3.33,1.0,1.0,0.33,0.0,0.0,0.67,1.67,0.0,0.0,Uruguay
defensive midfielder,71.0,7.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Uruguay
attacking midfielder,79.67,7.67,0.17,0.5,0.33,1.0,4.17,1.83,2.33,6.17,1.17,3.0,0.83,0.5,0.0,0.67,1.83,0.17,0.0,Uruguay
central midfielder,67.5,8.0,1.0,0.5,1.5,2.0,3.5,1.5,2.0,4.5,0.5,2.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,Uruguay
