players,position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
Bruno,centre back,90.0,7.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,13.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Brazil
C Henrique,left back,90.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,Brazil
Casemiro,central midfielder,90.0,8.0,0.0,0.0,1.0,2.0,6.0,3.0,0.0,7.0,1.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,Brazil
Casemiro,defensive midfielder,84.17,6.83,0.0,0.0,0.5,0.83,6.0,3.5,0.67,5.67,1.33,3.0,1.33,1.17,1.0,0.17,0.17,0.33,0.0,Brazil
Couto,right back,69.0,6.5,0.0,0.0,0.0,0.0,3.0,1.0,0.5,3.5,1.5,2.0,1.0,1.0,0.0,1.0,2.5,0.0,0.0,Brazil
Cunha,attacking midfielder,73.5,8.0,0.5,0.5,0.5,1.5,1.0,1.0,1.5,4.5,1.0,1.0,1.0,0.0,0.0,1.0,2.5,0.0,0.0,Brazil
D Santos,left back,90.0,9.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,6.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,Brazil
Danilo,right back,83.14,7.14,0.0,0.14,0.0,0.57,4.43,2.86,0.86,4.0,0.29,2.0,1.14,1.86,0.29,0.14,0.14,0.14,0.0,Brazil
Ederson,goal keeper,90.0,6.25,0.0,0.0,0.0,0.0,5.5,2.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.12,0.0,Brazil
Endick,centre forward,45.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.5,0.5,0.0,0.0,0.0,0.5,1.5,0.5,0.0,Brazil
Estêvão,right wing,65.0,7.0,0.5,0.0,1.0,1.5,0.5,0.0,0.5,4.0,1.5,0.5,0.5,0.0,0.0,1.5,3.5,0.0,0.0,Brazil
França,right back,90.0,8.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,7.0,0.0,3.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,Brazil
Gerson,central midfielder,64.0,7.33,0.33,0.0,0.33,0.33,1.67,1.33,0.67,4.0,0.33,2.0,1.0,1.0,0.0,0.67,1.0,0.0,0.0,Brazil
Gerson,defensive midfielder,75.0,7.0,0.0,0.0,0.67,1.0,2.33,2.0,0.67,4.67,0.0,2.0,0.67,0.33,0.0,1.33,1.33,0.0,0.0,Brazil
