position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
attacking midfielder,75.5,7.0,0.0,0.0,0.0,1.5,1.5,0.5,2.0,5.5,1.0,1.5,1.0,0.5,0.0,1.5,3.5,0.0,0.0,Colombia
central midfielder,72.67,7.33,0.0,0.0,0.33,1.0,2.67,1.67,2.0,4.67,1.0,1.67,0.67,0.33,0.0,1.33,2.67,0.0,0.0,Colombia
right wing,71.5,7.0,0.0,0.17,0.33,1.33,1.83,1.0,1.17,4.83,1.0,1.5,0.83,0.0,0.0,1.33,3.0,0.17,0.0,Colombia
attacking midfielder,80.11,7.67,0.0,0.22,0.67,2.22,8.11,5.0,3.78,4.0,0.78,1.0,0.33,0.67,0.0,0.78,1.22,0.0,0.0,Colombia
centre forward,81.0,8.0,1.0,1.0,1.0,3.0,7.0,5.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Colombia
right wing,75.6,8.4,0.4,0.8,0.6,1.6,6.0,3.8,3.2,4.2,0.8,1.2,0.8,0.2,0.0,0.6,1.2,0.0,0.0,Colombia
central midfielder,89.43,7.0,0.0,0.0,0.0,0.86,3.71,2.14,0.71,7.0,0.86,3.57,2.71,1.86,1.0,0.14,0.14,0.0,0.0,Colombia
defensive midfielder,85.4,7.2,0.0,0.0,0.0,1.2,3.6,2.0,0.4,7.2,0.8,3.6,2.6,2.0,1.0,0.0,0.2,0.2,0.0,Colombia
centre back,89.71,7.14,0.0,0.07,0.0,0.21,4.07,2.21,0.14,4.93,0.14,1.64,1.79,4.36,1.21,0.0,0.0,0.07,0.0,Colombia
centre forward,56.5,8.5,2.0,0.0,2.5,4.0,0.0,0.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,Colombia
central midfielder,87.5,7.0,0.0,0.0,0.0,1.0,3.5,2.5,0.5,5.0,1.0,2.5,1.0,1.5,1.0,0.0,0.0,0.0,0.0,Colombia
defensive midfielder,71.0,7.5,0.5,0.0,0.5,1.5,1.5,0.5,0.5,4.5,1.0,2.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,Colombia
right wing,45.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Colombia
left back,77.2,6.6,0.0,0.0,0.0,0.2,2.4,0.8,0.4,4.0,1.0,1.8,1.4,2.0,0.4,0.4,0.8,0.0,0.0,Colombia
goal keeper,90.0,7.0,0.0,0.0,0.0,0.0,11.0,4.67,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Colombia
centre back,78.83,7.17,0.17,0.0,0.17,0.83,3.83,1.83,0.0,5.83,0.0,1.5,1.67,4.33,0.83,0.0,0.0,0.33,0.0,Colombia
left back,89.5,7.12,0.0,0.12,0.0,0.25,4.5,1.62,1.25,4.75,0.75,2.38,1.12,2.25,0.38,0.88,1.5,0.12,0.0,Colombia
goal keeper,90.0,8.0,0.0,0.0,0.0,0.0,19.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Colombia
centre back,88.0,8.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,6.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,Colombia
right back,86.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,1.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,Colombia
right back,90.0,6.92,0.0,0.0,0.0,0.85,3.54,1.54,0.85,6.92,1.15,3.54,1.92,2.85,0.69,0.69,1.46,0.08,0.0,Colombia
central midfielder,90.0,7.0,0.0,0.0,0.0,0.5,4.5,3.0,0.5,5.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.5,0.0,Colombia
attacking midfielder,41.0,7.33,0.67,0.67,0.67,1.33,3.0,1.67,2.0,2.33,0.33,0.33,0.0,0.0,0.0,1.0,1.0,0.33,0.0,Colombia
centre forward,23.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Colombia
central midfielder,78.25,6.88,0.0,0.12,0.38,1.38,3.12,1.75,1.0,6.38,1.0,2.5,1.25,0.62,0.38,1.75,2.75,0.0,0.0,Colombia
defensive midfielder,87.33,7.33,0.0,0.0,0.0,1.33,3.0,1.33,0.33,6.67,1.0,2.67,1.67,1.0,0.67,1.33,2.33,0.33,0.0,Colombia
right back,90.0,7.75,0.0,0.5,0.0,0.0,3.75,1.75,2.0,5.0,0.5,2.5,1.25,2.0,0.25,0.75,0.75,0.0,0.0,Colombia
left wing,29.0,7.5,0.5,0.5,1.0,2.0,0.0,0.0,0.5,2.5,0.0,1.0,0.5,0.0,0.0,1.0,2.0,0.0,0.0,Colombia
right wing,45.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,Colombia
centre back,88.12,7.12,0.12,0.0,0.12,0.38,4.5,2.25,0.0,5.75,0.25,2.12,2.25,4.38,1.12,0.0,0.0,0.0,0.0,Colombia
defensive midfielder,45.0,7.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Colombia
goal keeper,89.79,6.93,0.0,0.0,0.0,0.0,13.14,5.36,0.0,0.57,0.0,0.07,0.0,1.14,0.0,0.0,0.0,0.14,0.07,Colombia
