position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
left back,80.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Belgium
centre back,88.5,7.67,0.17,0.0,0.17,1.17,5.67,3.83,0.17,5.0,0.17,1.33,1.5,2.83,0.67,0.17,0.17,0.17,0.0,Belgium
central midfielder,60.0,8.0,0.0,2.0,1.0,2.0,6.0,5.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Belgium
defensive midfielder,90.0,8.33,1.0,0.33,1.0,2.33,5.0,3.33,2.0,3.33,0.0,1.67,1.33,0.67,0.33,0.67,1.0,0.0,0.0,Belgium
centre forward,74.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Belgium
left wing,67.0,6.75,0.25,0.0,0.75,1.75,1.5,0.5,0.75,2.5,0.25,0.25,0.25,0.25,0.0,1.0,1.5,0.25,0.0,Belgium
attacking midfielder,90.0,8.0,1.0,0.0,3.0,5.0,4.0,3.0,7.0,6.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,Belgium
central midfielder,73.75,7.5,0.25,0.5,0.75,2.5,3.75,2.75,2.0,5.0,0.25,2.75,0.5,0.25,0.0,0.5,1.0,0.0,0.0,Belgium
centre back,90.0,8.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,Belgium
right back,74.0,7.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,Belgium
